Install_Dates,source_type,Country,installs
2020-05-18,Paid,PY,4.0
2020-04-14,Paid,FR,35.0
2020-04-30,Paid,JP,25.0
2020-03-20,Paid,DE,11.0
2020-04-30,Paid,IT,8.0
2020-05-17,Paid,KE,2.0
2020-04-06,Paid,NZ,19.0
2020-03-21,Organic,EG,24.0
2020-04-28,Paid,UA,826.0
2020-04-24,Paid,IR,9.0
2020-04-17,Paid,FR,51.0
2020-04-25,Organic,CZ,19.0
2020-04-02,Paid,PT,1.0
2020-04-26,Paid,VE,28.0
2020-05-01,Paid,JP,9.0
2020-03-18,Organic,ID,248.0
2020-04-05,Paid,BY,105.0
2020-04-03,Paid,RO,2.0
2020-05-02,Paid,IT,40.0
2020-05-10,Organic,IE,1.0
2020-04-23,Paid,IR,10.0
2020-05-05,Paid,PG,1.0
2020-05-10,Paid,CZ,7.0
2020-03-22,Paid,KZ,640.0
2020-04-24,Paid,NC,1.0
2020-05-11,Paid,PA,1.0
2020-05-15,Paid,DZ,113.0
2020-04-26,Paid,AR,2.0
2020-04-30,Paid,UY,2.0
2020-04-25,Paid,IE,2.0
2020-04-11,Organic,TZ,2.0
2020-04-08,Paid,AE,3.0
2020-04-06,Paid,BA,1.0
2020-04-16,Paid,BG,1.0
2020-04-12,Organic,LB,19.0
2020-05-13,Paid,SE,1.0
2020-04-25,Paid,FM,1.0
2020-05-01,Paid,MA,12.0
2020-03-20,Organic,SN,1.0
2020-04-12,Organic,ML,1.0
2020-04-29,Paid,CH,23.0
2020-05-08,Organic,GT,1.0
2020-05-13,Organic,HU,5.0
2020-05-18,Organic,GR,7.0
2020-03-21,Organic,HR,5.0
2020-04-28,Organic,BJ,1.0
2020-04-23,Organic,MK,1.0
2020-05-04,Paid,UK,13.0
2020-05-14,Organic,SI,1.0
2020-05-04,Organic,SO,3.0
2020-05-04,Paid,IQ,1.0
2020-05-02,Organic,MM,21.0
2020-05-01,Paid,GE,1.0
2020-04-30,Paid,TW,1.0
2020-05-06,Organic,PK,22.0
2020-05-15,Paid,ET,4.0
2020-04-30,Organic,NI,2.0
2020-04-25,Organic,NO,5.0
2020-05-05,Organic,KW,1.0
2020-03-28,Organic,PL,47.0
2020-05-16,Paid,BR,2.0
2020-04-24,Organic,US,218.0
2020-03-25,Paid,IN,3.0
2020-04-09,Organic,MR,2.0
2020-04-10,Organic,BS,2.0
2020-05-10,Organic,HK,5.0
2020-05-10,Paid,RU,1368.0
2020-04-03,Paid,SA,1.0
2020-05-16,Paid,RS,33.0
2020-03-19,Organic,SV,4.0
2020-05-10,Paid,NO,1.0
2020-04-08,Organic,VN,47.0
2020-05-13,Paid,UZ,1.0
2020-03-23,Organic,GM,1.0
2020-04-14,Paid,PL,57.0
2020-05-09,Paid,US,31.0
2020-04-14,Paid,LV,20.0
2020-04-30,Organic,BR,21.0
2020-05-18,Paid,BE,2.0
2020-04-01,Organic,DO,1.0
2020-04-28,Paid,HU,7.0
2020-04-11,Paid,GH,1.0
2020-05-07,Organic,PS,12.0
2020-03-26,Organic,KH,9.0
2020-04-07,Paid,HR,2.0
2020-04-17,Paid,TN,9.0
2020-04-19,Organic,UK,93.0
2020-05-15,Paid,BE,1.0
2020-04-17,Organic,NP,4.0
2020-03-27,Organic,PT,4.0
2020-05-07,Organic,RO,12.0
2020-03-26,Organic,IT,21.0
2020-04-23,Organic,CL,3.0
2020-04-04,Paid,IE,5.0
2020-04-18,Organic,LK,1.0
2020-03-18,Paid,TR,1.0
2020-03-18,Paid,CZ,2.0
2020-05-08,Organic,IS,1.0
2020-05-13,Organic,FR,27.0
2020-05-18,Paid,SK,1.0
2020-03-24,Paid,IT,2.0
2020-03-24,Paid,MM,6.0
2020-04-02,Organic,CM,1.0
2020-04-30,Paid,AL,2.0
2020-03-25,Paid,KR,67.0
2020-03-18,Paid,SK,2.0
